esp_id,timestamp,rssi,csi
esp_id,timestamp,rssi,csi
rx1,2026-05-02 20:40:57.687,-60,"[82, -96, 4, 0, -15, 19, -12, 14, -10, 9, -9, 3, -9, -3, -10, -8, -13, -13, -15, -16, -19, -18, -21, -18, -24, -17, -26, -16, -26, -13, -25, -10, -23, -7, -19, -3, -15, -1, -10, 1, -5, 2, 0, 2, 5, 2, 9, 0, 12, -1, 14, -3, 15, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, -1, 11, 3, 9, 6, 8, 10, 8, 13, 9, 16, 9, 19, 11, 22, 13, 24, 14, 26, 15, 25, 15, 24, 14, 22, 12, 20, 9, 18, 6, 16, 1, 15, -3, 15, -8, 15, -13, 16, -17, 18, -21, 21, -23, 23, -24, 25, -23, 28, -22, 28, 0, 0, -34, 51, -34, 49, -36, 48, -36, 43, -39, 42, -38, 39, -39, 39, -37, 34, -37, 33, -38, 31, -37, 30, -38, 30, -40, 27, -40, 25, -40, 22, -40, 19, -41, 17, -41, 13, -39, 10, -38, 7, -36, 3, -35, 2, -34, 0, -33, -3, -32, -4, -31, -8, -27, -11, -24, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 39, 19, 43, 16, 42, 14, 44, 12, 44, 11, 46, 9, 47, 8, 49, 6, 51, 4, 51, 4, 54, 2, 56, 0, 57, -1, 56, -4, 58, -5, 59, -8, 59, -9, 59, -11, 58, -13, 58, -14, 60, -17, 60, -19, 59, -21, 59, -22, 57, -25, 58, -28, 60, -30, 57]"
rx1,2026-05-02 20:40:57.776,-58,"[97, -112, 5, 0, 17, 7, 19, 10, 21, 11, 23, 12, 23, 11, 24, 8, 24, 6, 21, 4, 19, 1, 15, 0, 11, -1, 7, -1, 2, 1, 0, 3, -4, 5, -6, 8, -7, 10, -7, 13, -6, 14, -4, 15, -3, 15, -1, 15, 1, 13, 3, 11, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -18, -3, -21, -4, -24, -5, -25, -6, -27, -8, -27, -8, -26, -8, -25, -7, -23, -4, -21, -1, -18, 3, -17, 8, -15, 12, -15, 16, -15, 19, -17, 21, -17, 23, -19, 23, -20, 23, -22, 22, -21, 20, -21, 18, -18, 17, -15, 15, -11, 15, -7, 0, 0, 26, -4, 27, -3, 25, -1, 24, 1, 23, 2, 20, 5, 19, 4, 17, 6, 15, 7, 14, 8, 13, 8, 10, 9, 9, 10, 9, 11, 7, 10, 4, 11, 3, 12, 1, 12, 0, 12, -2, 10, -4, 10, -4, 10, -6, 9, -8, 9, -8, 8, -9, 6, -11, 6, -13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -26, 4, -26, 5, -26, 7, -27, 9, -27, 10, -28, 11, -28, 13, -29, 14, -29, 17, -29, 17, -30, 20, -30, 21, -29, 22, -26, 25, -26, 24, -24, 24, -24, 26, -22, 26, -22, 26, -20, 27, -20, 28, -19, 28, -17, 29, -16, 30, -14, 30, -12, 29, -11, 31, -10]"
rx1,2026-05-02 20:40:57.978,-57,"[97, -112, 5, 0, 6, 25, 8, 25, 10, 24, 11, 23, 11, 19, 11, 16, 10, 13, 7, 10, 5, 8, 2, 7, -1, 7, -4, 7, -7, 8, -9, 10, -10, 12, -10, 14, -9, 15, -8, 15, -6, 15, -4, 14, -2, 13, -1, 10, 1, 8, 1, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 15, 6, 15, 7, 16, 9, 15, 10, 16, 11, 16, 13, 17, 14, 18, 15, 18, 16, 18, 16, 19, 17, 19, 17, 19, 17, 20, 17, 18, 15, 18, 14, 16, 14, 16, 13, 15, 13, 12, 13, 10, 14, 8, 15, 7, 18, 6, 20, 6, 21, 0, 0, 16, 42, 16, 43, 14, 41, 13, 41, 10, 40, 8, 40, 8, 38, 6, 37, 7, 35, 5, 34, 3, 34, 3, 33, 1, 32, 0, 31, 0, 30, -2, 29, -5, 29, -5, 26, -7, 25, -8, 23, -8, 21, -10, 20, -10, 19, -11, 17, -13, 16, -13, 14, -15, 12, -15, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 21, 31, 24, 30, 25, 29, 26, 29, 29, 29, 28, 30, 32, 29, 33, 29, 34, 30, 36, 29, 36, 29, 40, 29, 39, 27, 40, 26, 41, 26, 40, 24, 40, 26, 41, 26, 40, 24, 42, 24, 41, 25, 41, 23, 42, 23, 41, 23, 44, 22, 44, 21, 44, 20, 43]"
rx1,2026-05-02 20:40:58.185,-57,"[97, -112, 5, 0, 20, 11, 22, 11, 22, 10, 22, 9, 21, 7, 19, 5, 17, 3, 14, 2, 11, 2, 8, 2, 6, 4, 4, 6, 3, 9, 3, 11, 3, 13, 4, 15, 5, 15, 6, 15, 8, 13, 8, 11, 8, 9, 7, 7, 6, 4, 4, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, -7, 20, -7, 21, -6, 21, -7, 21, -7, 20, -7, 20, -6, 20, -4, 20, -3, 20, -2, 20, -1, 21, 1, 23, 2, 23, 2, 24, 2, 24, 1, 25, 1, 25, 0, 23, -1, 23, -1, 21, -1, 20, 0, 18, 1, 18, 3, 18, 5, 18, 7, 0, 0, 36, 13, 36, 14, 35, 14, 34, 16, 33, 16, 31, 16, 30, 16, 29, 16, 28, 16, 27, 17, 26, 17, 25, 18, 22, 18, 22, 18, 20, 19, 19, 19, 17, 20, 16, 21, 14, 20, 12, 20, 10, 20, 8, 19, 6, 19, 5, 19, 3, 18, 1, 19, -1, 19, -4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, -7, 33, -3, 34, -1, 34, 0, 34, 1, 35, 1, 35, 3, 37, 3, 37, 3, 38, 4, 38, 4, 39, 5, 40, 6, 38, 6, 39, 7, 39, 7, 38, 8, 39, 8, 40, 8, 39, 8, 39, 8, 39, 7, 40, 8, 39, 8, 40, 9, 40, 10, 39, 10, 41, 12]"
rx1,2026-05-02 20:40:58.379,-57,"[97, -112, 5, 0, 27, 0, 28, -1, 28, -2, 27, -4, 25, -6, 23, -7, 20, -7, 17, -6, 14, -5, 12, -2, 10, 1, 10, 4, 10, 7, 12, 9, 13, 11, 14, 13, 16, 12, 16, 11, 17, 9, 16, 7, 14, 5, 12, 3, 10, 2, 7, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, -15, 16, -15, 16, -15, 16, -16, 16, -15, 15, -16, 15, -14, 16, -14, 17, -12, 18, -10, 19, -9, 21, -9, 23, -9, 24, -9, 25, -10, 25, -11, 24, -13, 24, -14, 22, -14, 21, -14, 19, -13, 19, -11, 19, -9, 19, -7, 20, -4, 22, -3, 0, 0, 42, -13, 45, -16, 40, -14, 44, -11, 41, -10, 40, -9, 40, -9, 39, -7, 37, -7, 40, -5, 37, -3, 37, -3, 36, -1, 34, 0, 36, -1, 32, 2, 34, 5, 30, 6, 29, 7, 29, 9, 26, 11, 25, 10, 23, 13, 21, 14, 19, 15, 17, 15, 16, 18, 11, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, -24, 28, -21, 28, -19, 29, -18, 31, -21, 29, -19, 33, -19, 32, -19, 33, -20, 35, -19, 35, -19, 40, -20, 38, -19, 38, -18, 39, -18, 39, -17, 37, -17, 41, -21, 38, -19, 40, -19, 39, -17, 38, -22, 41, -19, 40, -21, 44, -19, 44, -19, 45, -19, 44, -18]"
rx1,2026-05-02 20:40:58.581,-58,"[97, -112, 5, 0, -17, -9, -14, -11, -12, -13, -11, -15, -10, -17, -11, -19, -12, -21, -14, -20, -16, -20, -17, -18, -18, -17, -18, -14, -17, -12, -15, -10, -12, -8, -8, -7, -5, -6, -1, -7, 2, -9, 4, -10, 6, -12, 6, -14, 6, -15, 5, -17, 4, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -2, -17, -3, -17, -4, -18, -4, -17, -5, -18, -6, -19, -6, -20, -7, -21, -7, -21, -7, -21, -6, -21, -7, -20, -7, -20, -7, -19, -8, -19, -9, -19, -9, -19, -11, -21, -11, -22, -12, -23, -12, -24, -12, -25, -11, -26, -10, -25, -9, -24, -8, 0, 0, -43, -4, -42, -4, -40, -4, -40, -4, -37, -5, -36, -5, -35, -4, -34, -5, -33, -4, -33, -4, -31, -5, -30, -4, -28, -4, -27, -5, -27, -6, -25, -5, -24, -6, -22, -8, -22, -8, -21, -9, -19, -8, -16, -10, -15, -8, -14, -8, -12, -9, -10, -9, -10, -9, -7, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, 2, -36, -1, -36, -2, -36, -2, -37, -3, -36, -2, -38, -3, -38, -3, -39, -3, -40, -3, -40, -3, -42, -3, -42, -3, -42, -4, -43, -4, -42, -3, -41, -2, -43, -3, -42, -2, -43, -3, -42, -2, -43, -1, -44, -1, -43, -1, -44, -1, -45, -2, -44, -2, -45, -2]"
rx1,2026-05-02 20:40:58.784,-59,"[97, -112, 5, 0, 18, 19, 18, 18, 17, 16, 18, 14, 16, 12, 14, 10, 12, 8, 9, 6, 6, 6, 3, 7, 0, 9, -2, 10, -4, 13, -4, 15, -4, 17, -3, 20, -1, 21, 0, 20, 2, 19, 3, 17, 5, 14, 5, 12, 5, 8, 4, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 14, 1, 16, 1, 17, 1, 18, 2, 19, 1, 20, 1, 20, 1, 21, 2, 21, 2, 20, 3, 20, 4, 20, 5, 20, 5, 19, 6, 19, 6, 18, 7, 18, 7, 17, 8, 18, 9, 16, 10, 17, 11, 16, 13, 16, 15, 16, 16, 17, 17, 0, 0, 39, 25, 42, 26, 37, 25, 38, 29, 34, 28, 32, 29, 31, 28, 29, 28, 30, 27, 29, 29, 27, 29, 24, 30, 24, 29, 21, 29, 22, 31, 19, 28, 17, 31, 15, 30, 12, 29, 9, 29, 8, 28, 4, 27, 3, 27, 1, 26, -1, 25, -3, 23, -6, 24, -9, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, -2, 29, 1, 29, 1, 28, 3, 32, 3, 31, 4, 33, 7, 33, 6, 35, 6, 37, 8, 37, 8, 40, 10, 40, 10, 39, 12, 39, 13, 40, 13, 38, 14, 44, 14, 40, 13, 42, 16, 41, 17, 42, 15, 42, 18, 43, 17, 45, 20, 45, 22, 43, 23, 43, 23]"
rx1,2026-05-02 20:40:58.983,-54,"[97, -112, 5, 0, -17, 19, -18, 20, -18, 22, -16, 23, -14, 23, -12, 23, -10, 21, -8, 19, -6, 17, -7, 14, -7, 11, -8, 7, -10, 5, -14, 3, -16, 2, -19, 1, -20, 2, -21, 2, -21, 4, -21, 5, -19, 5, -17, 6, -15, 6, -12, 5, -9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 5, 18, 6, 19, 7, 19, 8, 18, 8, 18, 7, 18, 6, 17, 4, 17, 2, 17, 0, 18, -3, 19, -5, 20, -6, 22, -6, 24, -6, 25, -5, 26, -3, 27, -2, 27, -1, 26, 0, 25, 0, 23, -2, 20, -5, 19, -7, 18, -9, 18, 0, 0, -19, 34, -20, 35, -19, 34, -21, 33, -22, 31, -23, 30, -21, 29, -22, 28, -21, 26, -21, 26, -21, 25, -23, 23, -22, 22, -24, 21, -23, 20, -23, 18, -24, 17, -24, 15, -23, 13, -24, 11, -24, 9, -24, 7, -23, 6, -22, 4, -22, 1, -21, 0, -21, -3, -20, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, -1, 26, -1, 26, -3, 25, -3, 26, -3, 28, -3, 29, -4, 29, -5, 30, -5, 31, -6, 32, -7, 34, -8, 34, -10, 34, -9, 34, -10, 34, -11, 34, -10, 35, -10, 35, -12, 35, -13, 35, -11, 37, -13, 36, -12, 38, -14, 37, -16, 38, -18, 38, -17, 37]"
rx1,2026-05-02 20:40:59.179,-54,"[97, -112, 5, 0, -9, 27, -7, 26, -6, 22, -5, 19, -6, 16, -7, 14, -10, 12, -12, 11, -13, 11, -16, 12, -17, 14, -17, 15, -17, 17, -16, 18, -14, 19, -11, 18, -10, 16, -8, 14, -7, 11, -6, 8, -6, 5, -6, 3, -8, 1, -9, -1, -10, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 4, 15, 2, 14, 1, 14, -2, 14, -4, 16, -6, 18, -8, 20, -9, 23, -9, 25, -8, 27, -7, 29, -5, 29, -3, 28, -3, 27, -1, 25, -1, 23, -3, 21, -4, 19, -6, 19, -9, 19, -11, 20, -14, 21, -14, 24, -14, 26, -14, 28, 0, 0, -13, 56, -14, 58, -14, 55, -15, 54, -14, 52, -12, 52, -12, 50, -11, 50, -11, 46, -11, 48, -11, 47, -11, 46, -11, 45, -11, 43, -12, 45, -13, 42, -16, 43, -15, 39, -16, 36, -17, 35, -16, 32, -18, 30, -19, 28, -19, 25, -19, 24, -20, 20, -22, 19, -23, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, -2, 42, -4, 40, -5, 39, -6, 44, -7, 43, -8, 46, -9, 46, -8, 49, -9, 51, -10, 50, -12, 55, -12, 54, -12, 53, -13, 55, -13, 55, -13, 52, -14, 57, -13, 55, -13, 56, -13, 56, -12, 57, -12, 58, -10, 58, -12, 59, -13, 61, -13, 59, -12, 60]"
